OP;ODP;PEZZI ;DATA;ORA START;ORA STOP;SECONDI;CICLO;WEEKNUM;;;WEEK;SOMMA;MINUTI ;ORE / SETTIMANA;ORE GIORNO (5 GG LAV.);MEDIA ORE GIORNO 
OP000035;9999001;1;26/04/2023;16:16:59;16:29:57;778;778;17;;;17;4166;69,43333333;1,157222222;0,231444444;2,688138889
OP000035;9999001;1;26/04/2023;17:19:08;17:21:29;141;141;17;;;18;20882;348,0333333;5,800555556;1,160111111;
OP000002;9999001;1;27/04/2023;15:51:20;16:03:56;756;756;17;;;19;77758;1295,966667;21,59944444;4,319888889;
OP000002;9999001;1;27/04/2023;16:35:47;16:41:42;355;355;17;;;20;83633;1393,883333;23,23138889;4,646277778;
OP000002;9999001;1;27/04/2023;17:16:41;17:19:28;167;167;17;;;21;44743;745,7166667;12,42861111;2,485722222;
OP000002;9999001;1;28/04/2023;14:01:05;14:19:25;1100;1100;17;;;22;11154;185,9;3,098333333;0,619666667;
OP000002;9999001;1;28/04/2023;15:54:56;16:01:15;379;379;17;;;23;/;;0;0;
OP000002;9999001;1;28/04/2023;16:56:33;17:04:43;490;490;17;;;24;60376;1006,266667;16,77111111;3,354222222;
OP000002;9999001;1;02/05/2023;09:46:54;10:05:24;1110;1110;18;;;25;68928;1148,8;19,14666667;3,829333333;
OP000002;9999001;1;02/05/2023;11:03:16;11:13:02;586;586;18;;;26;50354;839,2333333;13,98722222;2,797444444;
OP000002;9999001;1;02/05/2023;11:49:19;11:57:33;494;494;18;;;27;61871;1031,183333;17,18638889;3,437277778;
OP000036;9999001;1;02/05/2023;14:08:40;14:23:08;868;868;18;;;;;;;;
OP000036;9999001;1;02/05/2023;16:11:02;16:20:34;572;572;18;;;;;;;;
OP000036;9999001;1;02/05/2023;17:16:35;17:24:21;466;466;18;;;;;;;;
OP000031;9999001;1;04/05/2023;09:50:49;10:00:43;594;594;18;;;;;;;;
OP000031;9999001;1;04/05/2023;10:57:53;11:08:19;626;626;18;;;;;;;;
OP000008;9999001;1;04/05/2023;12:41:38;12:58:48;1030;1030;18;;;;;;;;
OP000031;9999001;1;04/05/2023;13:46:31;13:57:51;680;680;18;;;;;;;;
OP000031;9999001;1;04/05/2023;14:49:56;15:29:10;2354;2354;18;;;;;;;;
OP000031;9999001;1;04/05/2023;16:18:01;16:39:33;1292;1292;18;;;;;;;;
OP000011;9999001;1;04/05/2023;17:22:22;17:35:46;804;804;18;;;;;;;;
OP000031;9999001;1;05/05/2023;08:02:22;09:18:40;4578;4578;18;;;;;;;;
OP000036;9999001;1;05/05/2023;09:54:01;10:17:05;1384;1384;18;;;;;;;;
OP000036;9999001;1;05/05/2023;11:06:21;11:19:23;782;782;18;;;;;;;;
OP000036;9999001;1;05/05/2023;11:57:14;12:04:31;437;437;18;;;;;;;;
